"Date as of","District","Daily cases","Cumulative cases"
2022-09-18,"Wakiso",0,0
2022-09-19,"Wakiso",0,0
2022-09-20,"Wakiso",0,0
2022-09-21,"Wakiso",0,0
2022-09-22,"Wakiso",0,0
2022-09-23,"Wakiso",0,0
2022-09-24,"Wakiso",0,0
2022-09-25,"Wakiso",0,0
2022-09-26,"Wakiso",0,0
2022-09-27,"Wakiso",0,0
2022-09-28,"Wakiso",0,0
2022-09-29,"Wakiso",0,0
2022-09-30,"Wakiso",0,0
2022-10-01,"Wakiso",0,0
2022-10-02,"Wakiso",0,0
2022-10-03,"Wakiso",0,0
2022-10-04,"Wakiso",0,0
2022-10-05,"Wakiso",0,0
2022-10-06,"Wakiso",0,0
2022-10-07,"Wakiso",0,0
2022-10-08,"Wakiso",0,0
2022-10-09,"Wakiso",0,0
2022-10-10,"Wakiso",0,0
2022-10-11,"Wakiso",0,0
2022-10-12,"Wakiso",0,0
2022-10-13,"Wakiso",0,0
2022-10-14,"Wakiso",0,0
2022-10-15,"Wakiso",0,0
2022-10-16,"Wakiso",0,0
2022-10-17,"Wakiso",1,1
2022-10-18,"Wakiso",0,1
2022-10-19,"Wakiso",0,1
2022-10-20,"Wakiso",0,1
2022-10-21,"Wakiso",0,1
2022-10-22,"Wakiso",0,1
2022-10-23,"Wakiso",0,1
2022-10-24,"Wakiso",0,1
2022-10-25,"Wakiso",1,2
2022-10-26,"Wakiso",0,2
2022-10-27,"Wakiso",0,2
2022-10-28,"Wakiso",0,2
2022-10-29,"Wakiso",0,2
2022-10-30,"Wakiso",0,2
2022-10-31,"Wakiso",0,2
2022-11-01,"Wakiso",0,2
2022-11-02,"Wakiso",0,2
2022-11-03,"Wakiso",0,2
2022-11-04,"Wakiso",0,2
2022-11-05,"Wakiso",0,2
2022-11-06,"Wakiso",0,2
2022-11-07,"Wakiso",0,2
2022-11-08,"Wakiso",0,2
2022-11-09,"Wakiso",0,2
2022-11-10,"Wakiso",0,2
2022-11-11,"Wakiso",0,2
2022-11-12,"Wakiso",0,2
