"Date as of","District","SubCounty","CumCases","CumDeaths"
2022-10-12,"Kassanda","Kassanda",2,0
2022-10-12,"Kassanda","Kalwana",1,0
2022-10-12,"Kagadi","Kagadi TC",1,1
2022-10-12,"Bunyangabu","Rwimi TC",1,0
2022-10-12,"Total",NA,54,19
2022-10-13,"Mubende","Madudu",16,7
2022-10-13,"Mubende","Eastern Division",7,1
2022-10-13,"Mubende","Southern Division",6,1
2022-10-13,"Mubende","Bagezza",1,1
2022-10-13,"Mubende","Western Division",2,1
2022-10-13,"Mubende","Kasambya",5,0
2022-10-13,"Mubende","Kibalinga",1,1
2022-10-13,"Mubende","Kiruuma",7,3
2022-10-13,"Mubende","Kitenga",1,0
2022-10-13,"Mubende","Butologo",1,0
2022-10-13,"Mubende","Kiyuni",3,2
2022-10-13,"Kyegegwa","Kasule",3,1
2022-10-13,"Kassanda","Kassanda",2,0
2022-10-13,"Kassanda","Kalwana",1,0
2022-10-13,"Kagadi","Kagadi TC",1,1
2022-10-13,"Bunyangabu","Rwimi TC",1,0
2022-10-13,"Total",NA,58,19
2022-10-14,"Mubende","Madudu",16,7
2022-10-14,"Mubende","Eastern Division",7,1
2022-10-14,"Mubende","Southern Division",6,1
2022-10-14,"Mubende","Bagezza",1,1
2022-10-14,"Mubende","Western Division",2,1
2022-10-14,"Mubende","Kasambya",5,0
2022-10-14,"Mubende","Kibalinga",1,1
2022-10-14,"Mubende","Kiruuma",7,3
2022-10-14,"Mubende","Kitenga",1,0
2022-10-14,"Mubende","Butologo",1,1
2022-10-14,"Mubende","Kiyuni",3,3
2022-10-14,"Kyegegwa","Kasule",3,1
2022-10-14,"Kassanda","Kassanda",2,0
2022-10-14,"Kassanda","Kalwana",1,0
2022-10-14,"Kagadi","Kagadi TC",1,1
2022-10-14,"Bunyangabu","Rwimi TC",1,0
2022-10-14,"Total",NA,58,21
2022-10-15,"Mubende","Madudu",16,7
2022-10-15,"Mubende","Eastern Division",7,1
2022-10-15,"Mubende","Southern Division",6,1
2022-10-15,"Mubende","Bagezza",1,1
2022-10-15,"Mubende","Western Division",2,1
2022-10-15,"Mubende","Kasambya",5,0
2022-10-15,"Mubende","Kibalinga",1,1
2022-10-15,"Mubende","Kiruuma",7,3
2022-10-15,"Mubende","Kitenga",1,0
2022-10-15,"Mubende","Butologo",1,1
2022-10-15,"Mubende","Kiyuni",3,3
2022-10-15,"Kyegegwa","Kasule",3,1
2022-10-15,"Kassanda","Kassanda",2,0
2022-10-15,"Kassanda","Kalwana",1,0
2022-10-15,"Kagadi","Kagadi TC",1,1
2022-10-15,"Bunyangabu","Rwimi TC",1,0
2022-10-15,"Total",NA,58,21
2022-10-16,"Mubende","Madudu",17,7
2022-10-16,"Mubende","Eastern Division",7,1
2022-10-16,"Mubende","Southern Division",6,3
2022-10-16,"Mubende","Bagezza",1,1
2022-10-16,"Mubende","Western Division",2,1
2022-10-16,"Mubende","Kasambya",5,0
2022-10-16,"Mubende","Kibalinga",1,1
2022-10-16,"Mubende","Kiruuma",7,3
2022-10-16,"Mubende","Kitenga",1,0
2022-10-16,"Mubende","Butologo",1,1
2022-10-16,"Mubende","Kiyuni",3,3
2022-10-16,"Kyegegwa","Kasule",3,1
2022-10-16,"Kassanda","Kassanda",3,0
2022-10-16,"Kassanda","Kalwana",1,0
2022-10-16,"Kagadi","Kagadi TC",1,1
2022-10-16,"Bunyangabu","Rwimi TC",1,0
2022-10-16,"Total",NA,60,23
2022-10-17,"Mubende","Madudu",17,7
2022-10-17,"Mubende","Eastern Division",7,1
2022-10-17,"Mubende","Southern Division",6,3
2022-10-17,"Mubende","Bagezza",1,1
2022-10-17,"Mubende","Western Division",2,1
2022-10-17,"Mubende","Kasambya",5,0
2022-10-17,"Mubende","Kibalinga",1,1
2022-10-17,"Mubende","Kiruuma",7,3
2022-10-17,"Mubende","Kitenga",1,0
2022-10-17,"Mubende","Butologo",1,1
2022-10-17,"Mubende","Kiyuni",3,3
2022-10-17,"Kyegegwa","Kasule",3,1
2022-10-17,"Kassanda","Kassanda",3,1
2022-10-17,"Kassanda","Kalwana",1,0
2022-10-17,"Kagadi","Kagadi TC",1,1
2022-10-17,"Bunyangabu","Rwimi TC",1,0
2022-10-17,"Total",NA,60,24
2022-10-19,"Mubende","Madudu",17,7
2022-10-19,"Mubende","Eastern Division",7,1
2022-10-19,"Mubende","Southern Division",7,3
2022-10-19,"Mubende","Bagezza",2,1
2022-10-19,"Mubende","Western Division",2,1
2022-10-19,"Mubende","Kasambya",5,0
2022-10-19,"Mubende","Kibalinga",1,1
2022-10-19,"Mubende","Kiruuma",8,3
2022-10-19,"Mubende","Kitenga",1,0
2022-10-19,"Mubende","Butologo",1,1
2022-10-19,"Mubende","Kiyuni",3,3
2022-10-19,"Kyegegwa","Kasule",3,1
2022-10-19,"Kassanda","Kassanda",1,1
2022-10-19,"Kassanda","Kiganda",1,1
2022-10-19,"Kassanda","Kalwana",4,0
2022-10-19,"Kagadi","Kagadi TC",1,1
2022-10-19,"Bunyangabu","Rwimi TC",1,0
2022-10-19,"Total",NA,65,25
2022-10-20,"Mubende","Madudu",20,7
2022-10-20,"Mubende","Eastern Division",7,1
2022-10-20,"Mubende","Southern Division",7,3
2022-10-20,"Mubende","Bagezza",2,2
2022-10-20,"Mubende","Western Division",2,1
2022-10-20,"Mubende","Kasambya",3,1
2022-10-20,"Mubende","Kibalinga",1,1
2022-10-20,"Mubende","Kiruuma",8,3
2022-10-20,"Mubende","Kitenga",1,0
2022-10-20,"Mubende","Butologo",1,1
2022-10-20,"Mubende","Kiyuni",3,3
2022-10-20,"Kyegegwa","Kasule",3,1
2022-10-20,"Kassanda","Kassanda",1,1
2022-10-20,"Kassanda","Kiganda",1,1
2022-10-20,"Kassanda","Kalwana",4,0
2022-10-20,"Kagadi","Kagadi TC",1,1
2022-10-20,"Bunyangabu","Rwimi TC",1,0
2022-10-20,"Total",NA,66,27
2022-10-23,"Bunyangabu","Rwimi TC",1,0
2022-10-23,"Kagadi","Kagadi TC",1,1
2022-10-23,"Kassanda","Kalwana",1,0
2022-10-23,"Kassanda","Kassanda",2,0
2022-10-23,"Kassanda","Kikandwa",5,2
2022-10-23,"Kassanda","Kiganda",1,0
2022-10-23,"Kassanda","Gomba",1,0
2022-10-23,"Kyegegwa","Kasule",3,1
2022-10-23,"Wakiso","Nanssana",1,0
2022-10-23,"Kampala","Rubaga",11,0
2022-10-23,"Kampala","Kawempe",2,0
2022-10-23,"Kampala","Makindye",1,0
2022-10-23,"Mubende","Bagezza",2,1
2022-10-23,"Mubende","Butologo",1,1
2022-10-23,"Mubende","Eastern Division",8,1
2022-10-23,"Mubende","Western Division",2,2
2022-10-23,"Mubende","Southern Division",7,3
2022-10-23,"Mubende","Kasambya",5,1
2022-10-23,"Mubende","Kiruuma",9,4
2022-10-23,"Mubende","Kiyuni",3,3
2022-10-23,"Mubende","Madudu",21,7
2022-10-23,"Mubende","Kibalinga",1,1
2022-10-23,"Mubende","Kitenga",1,0
2022-10-23,"Total",NA,90,28
2022-10-25,"Bunyangabu","Rwimi TC",1,0
2022-10-25,"Kagadi","Kagadi TC",1,1
2022-10-25,"Kampala","Kawempe",2,0
2022-10-25,"Kampala","Makindye",1,0
2022-10-25,"Kampala","Rubaga",14,0
2022-10-25,"Kassanda","Gomba",1,0
2022-10-25,"Kassanda","Kalwana",15,0
2022-10-25,"Kassanda","Kassanda",3,0
2022-10-25,"Kassanda","Kiganda",2,0
2022-10-25,"Kassanda","Kikandwa",3,2
2022-10-25,"Kyegegwa","Kasule",3,1
2022-10-25,"Mubende","Bagezza",2,2
2022-10-25,"Mubende","Butologo",1,1
2022-10-25,"Mubende","Eastern Division",8,1
2022-10-25,"Mubende","Southern Division",7,3
2022-10-25,"Mubende","Western Division",3,1
2022-10-25,"Mubende","Kasambya",5,1
2022-10-25,"Mubende","Kiruuma",9,4
2022-10-25,"Mubende","Kirwanyi",1,0
2022-10-25,"Mubende","Kiyuni",3,3
2022-10-25,"Mubende","Madudu",21,10
2022-10-25,"Mubende","Kibalinga",1,1
2022-10-25,"Mubende","Kitenga",1,0
2022-10-25,"Wakiso","Busiro",1,0
2022-10-25,"Wakiso","Nanssana",1,0
2022-10-25,"Total",NA,110,31
2022-10-26,"Bunyangabu","Rwimi TC",1,0
2022-10-26,"Kagadi","Kagadi TC",1,1
