"Date as of","District","ConfCases","CumCases","ConfDeaths","CumDeaths","ConfHCWcases","CumHCWCases","ConfHCWDeaths","CumHCWDeaths"
"11/12/22","Jinja",0,1,0,1,0,0,0,0
"11/12/22","Kampala",0,18,0,2,0,2,0,0
"11/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"12/12/22","Mubende",0,65,0,29,0,14,0,6
"12/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"12/12/22","Kassanda",0,48,0,20,0,1,0,0
"12/12/22","Kagadi",0,1,0,1,0,1,0,1
"12/12/22","Masaka",0,1,0,1,0,0,0,0
"12/12/22","Wakiso",0,3,0,0,0,0,0,0
"12/12/22","Jinja",0,1,0,1,0,0,0,0
"12/12/22","Kampala",0,18,0,2,0,2,0,0
"12/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"13/12/22","Mubende",0,65,0,29,0,14,0,6
"13/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"13/12/22","Kassanda",0,48,0,20,0,1,0,0
"13/12/22","Kagadi",0,1,0,1,0,1,0,1
"13/12/22","Masaka",0,1,0,1,0,0,0,0
"13/12/22","Wakiso",0,3,0,0,0,0,0,0
"13/12/22","Jinja",0,1,0,1,0,0,0,0
"13/12/22","Kampala",0,18,0,2,0,2,0,0
"13/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"14/12/22","Mubende",0,65,0,29,0,14,0,6
"14/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"14/12/22","Kassanda",0,48,0,20,0,1,0,0
"14/12/22","Kagadi",0,1,0,1,0,1,0,1
"14/12/22","Masaka",0,1,0,1,0,0,0,0
"14/12/22","Wakiso",0,3,0,0,0,0,0,0
"14/12/22","Jinja",0,1,0,1,0,0,0,0
"14/12/22","Kampala",0,18,0,2,0,2,0,0
"14/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"15/12/22","Mubende",0,65,0,29,0,14,0,6
"15/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"15/12/22","Kassanda",0,48,0,20,0,1,0,0
"15/12/22","Kagadi",0,1,0,1,0,1,0,1
"15/12/22","Masaka",0,1,0,1,0,0,0,0
"15/12/22","Wakiso",0,3,0,0,0,0,0,0
"15/12/22","Jinja",0,1,0,1,0,0,0,0
"15/12/22","Kampala",0,18,0,2,0,2,0,0
"15/12/22","Bunyangabu",0,1,0,0,0,1,0,0
