"Date as of","District","ConfCases","CumCases","ConfDeaths","CumDeaths","ConfHCWcases","CumHCWCases","ConfHCWDeaths","CumHCWDeaths"
"24/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"25/10/22","Mubende",0,64,1,27,0,11,0,3
"25/10/22","Kyegegwa",0,3,0,1,0,0,0,0
"25/10/22","Kassanda",10,21,0,2,0,0,0,0
"25/10/22","Kagadi",0,1,0,1,0,1,0,1
"25/10/22","Wakiso",1,2,0,0,0,0,0,0
"25/10/22","Kampala",3,17,0,0,0,2,0,0
"25/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"26/10/22","Mubende",0,64,1,28,0,11,0,3
"26/10/22","Kyegegwa",0,3,0,1,0,0,0,0
"26/10/22","Kassanda",6,27,0,2,0,0,0,0
"26/10/22","Kagadi",0,1,0,1,0,1,0,1
"26/10/22","Wakiso",0,2,0,0,0,0,0,0
"26/10/22","Kampala",0,17,0,0,0,2,0,0
"26/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"27/10/22","Mubende",0,64,0,28,0,11,1,4
"27/10/22","Kyegegwa",0,3,0,1,0,0,0,0
"27/10/22","Kassanda",6,33,0,2,0,0,1,1
"27/10/22","Kagadi",0,1,0,1,0,1,0,1
"27/10/22","Wakiso",0,2,0,0,0,0,0,0
"27/10/22","Kampala",0,17,0,0,0,2,0,0
"27/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"28/10/22","Mubende",1,65,0,28,0,11,0,4
"28/10/22","Kyegegwa",1,4,0,1,0,0,0,0
"28/10/22","Kassanda",3,36,0,2,0,0,0,1
"28/10/22","Kagadi",0,1,0,1,0,1,0,1
"28/10/22","Wakiso",0,2,0,0,0,0,0,0
"28/10/22","Kampala",0,17,0,0,0,2,0,0
"28/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"29/10/22","Mubende",0,65,1,29,0,11,0,4
"29/10/22","Kyegegwa",0,4,0,1,0,0,0,0
"29/10/22","Kassanda",2,38,0,2,0,0,0,1
"29/10/22","Kagadi",0,1,0,1,0,1,0,1
"29/10/22","Wakiso",0,2,0,0,0,0,0,0
"29/10/22","Kampala",0,17,1,1,0,2,0,0
"29/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"30/10/22","Mubende",0,65,-1,28,1,12,1,5
"30/10/22","Kyegegwa",0,4,0,1,0,0,0,0
"30/10/22","Kassanda",1,39,4,6,2,2,0,1
"30/10/22","Kagadi",0,1,0,1,0,1,0,1
"30/10/22","Wakiso",0,2,0,0,0,0,0,0
"30/10/22","Kampala",0,17,0,1,0,2,0,0
"30/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"31/10/22","Mubende",0,65,0,28,0,12,0,5
"31/10/22","Kyegegwa",0,4,0,1,0,0,0,0
"31/10/22","Kassanda",1,40,5,11,0,2,0,1
"31/10/22","Kagadi",0,1,0,1,0,1,0,1
"31/10/22","Wakiso",0,2,0,0,0,0,0,0
"31/10/22","Kampala",0,17,1,2,0,2,0,0
"31/10/22","Bunyangabu",0,1,0,0,0,1,0,0
"01/11/22","Mubende",0,65,0,28,1,13,0,5
"01/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"01/11/22","Kassanda",0,40,2,13,-1,1,-1,0
"01/11/22","Kagadi",0,1,0,1,0,1,0,1
"01/11/22","Wakiso",0,2,0,0,0,0,0,0
"01/11/22","Kampala",1,18,0,3,0,2,0,0
"01/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"02/11/22","Mubende",0,65,0,28,0,13,0,5
"02/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"02/11/22","Kassanda",0,40,2,15,0,1,0,0
"02/11/22","Kagadi",0,1,0,1,0,1,0,1
"02/11/22","Wakiso",0,2,0,0,0,0,0,0
"02/11/22","Kampala",0,18,0,3,0,2,0,0
"02/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"03/11/22","Mubende",0,65,0,28,0,13,0,5
"03/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"03/11/22","Kassanda",0,40,1,16,0,1,0,0
"03/11/22","Kagadi",0,1,0,1,0,1,0,1
"03/11/22","Wakiso",0,2,0,0,0,0,0,0
"03/11/22","Kampala",0,18,0,3,0,2,0,0
"03/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"04/11/22","Mubende",0,65,1,29,0,13,1,6
"04/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"04/11/22","Kassanda",1,41,1,17,0,1,0,0
"04/11/22","Kagadi",0,1,0,1,0,1,0,1
"04/11/22","Wakiso",0,2,0,0,0,0,0,0
"04/11/22","Kampala",0,18,0,3,0,2,0,0
"04/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"05/11/22","Mubende",0,65,0,29,0,13,0,6
"05/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"05/11/22","Kassanda",0,41,1,17,0,1,0,0
"05/11/22","Kagadi",0,1,0,1,0,1,0,1
"05/11/22","Wakiso",0,2,0,0,0,0,0,0
"05/11/22","Kampala",0,18,0,3,0,2,0,0
"05/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"06/11/22","Mubende",-2,63,0,29,-2,11,-2,4
"06/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"06/11/22","Kassanda",4,45,2,19,0,1,0,0
"06/11/22","Kagadi",0,1,0,1,0,1,0,1
"06/11/22","Wakiso",1,3,0,0,0,0,0,0
"06/11/22","Kampala",0,18,0,3,0,2,0,0
"06/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"10/11/22","Mubende",0,63,0,29,2,13,2,6
"10/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"10/11/22","Kassanda",2,47,1,20,0,1,0,0
"10/11/22","Kagadi",0,1,0,1,0,1,0,1
"10/11/22","Masaka",1,1,1,1,0,0,0,0
"10/11/22","Wakiso",0,3,0,0,0,0,0,0
"10/11/22","Kampala",-1,17,-1,2,0,2,0,0
"10/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"12/11/22","Mubende",0,63,0,29,0,13,0,6
"12/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"12/11/22","Kassanda",1,48,0,20,0,1,0,0
"12/11/22","Kagadi",0,1,0,1,0,1,0,1
"12/11/22","Masaka",0,1,0,1,0,0,0,0
"12/11/22","Wakiso",0,3,0,0,0,0,0,0
"12/11/22","Jinja",1,1,1,1,0,0,0,0
"12/11/22","Kampala",0,17,0,2,0,2,0,0
"12/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"13/11/22","Mubende",1,64,0,29,1,14,0,6
"13/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"13/11/22","Kassanda",0,48,0,20,0,1,0,0
"13/11/22","Kagadi",0,1,0,1,0,1,0,1
"13/11/22","Masaka",0,1,0,1,0,0,0,0
"13/11/22","Wakiso",0,3,0,0,0,0,0,0
"13/11/22","Jinja",0,1,0,1,0,0,0,0
"13/11/22","Kampala",0,17,0,2,0,2,0,0
"13/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"14/11/22","Mubende",0,64,0,29,0,14,0,6
"14/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"14/11/22","Kassanda",0,48,0,20,0,1,0,0
"14/11/22","Kagadi",0,1,0,1,0,1,0,1
"14/11/22","Masaka",0,1,0,1,0,0,0,0
"14/11/22","Wakiso",0,3,0,0,0,0,0,0
"14/11/22","Jinja",0,1,0,1,0,0,0,0
"14/11/22","Kampala",1,18,0,2,0,2,0,0
"14/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"15/11/22","Mubende",0,64,0,29,0,14,0,6
"15/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"15/11/22","Kassanda",0,48,0,20,0,1,0,0
"15/11/22","Kagadi",0,1,0,1,0,1,0,1
"15/11/22","Masaka",0,1,0,1,0,0,0,0
"15/11/22","Wakiso",0,3,0,0,0,0,0,0
"15/11/22","Jinja",0,1,0,1,0,0,0,0
"15/11/22","Kampala",0,18,0,2,0,2,0,0
"15/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"16/11/22","Mubende",0,64,0,29,0,14,0,6
"16/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"16/11/22","Kassanda",0,48,0,20,0,1,0,0
"16/11/22","Kagadi",0,1,0,1,0,1,0,1
"16/11/22","Masaka",0,1,0,1,0,0,0,0
"16/11/22","Wakiso",0,3,0,0,0,0,0,0
"16/11/22","Jinja",0,1,0,1,0,0,0,0
"16/11/22","Kampala",0,18,0,2,0,2,0,0
"16/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"17/11/22","Mubende",0,64,0,29,0,14,0,6
"17/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"17/11/22","Kassanda",0,48,0,20,0,1,0,0
"17/11/22","Kagadi",0,1,0,1,0,1,0,1
"17/11/22","Masaka",0,1,0,1,0,0,0,0
"17/11/22","Wakiso",0,3,0,0,0,0,0,0
"17/11/22","Jinja",0,1,0,1,0,0,0,0
"17/11/22","Kampala",0,18,0,2,0,2,0,0
"17/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"18/11/22","Mubende",0,64,0,29,0,14,0,6
"18/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"18/11/22","Kassanda",0,48,0,20,0,1,0,0
"18/11/22","Kagadi",0,1,0,1,0,1,0,1
"18/11/22","Masaka",0,1,0,1,0,0,0,0
"18/11/22","Wakiso",0,3,0,0,0,0,0,0
"18/11/22","Jinja",0,1,0,1,0,0,0,0
"18/11/22","Kampala",0,18,0,2,0,2,0,0
"18/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"19/11/22","Mubende",0,64,0,29,0,14,0,6
"19/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"19/11/22","Kassanda",0,48,0,20,0,1,0,0
"19/11/22","Kagadi",0,1,0,1,0,1,0,1
"19/11/22","Masaka",0,1,0,1,0,0,0,0
"19/11/22","Wakiso",0,3,0,0,0,0,0,0
"19/11/22","Jinja",0,1,0,1,0,0,0,0
"19/11/22","Kampala",0,18,0,2,0,2,0,0
"19/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"20/11/22","Mubende",0,64,0,29,0,14,0,6
"20/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"20/11/22","Kassanda",0,48,0,20,0,1,0,0
"20/11/22","Kagadi",0,1,0,1,0,1,0,1
"20/11/22","Masaka",0,1,0,1,0,0,0,0
"20/11/22","Wakiso",0,3,0,0,0,0,0,0
"20/11/22","Jinja",0,1,0,1,0,0,0,0
"20/11/22","Kampala",0,18,0,2,0,2,0,0
"20/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"21/11/22","Mubende",0,64,0,29,0,14,0,6
"21/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"21/11/22","Kassanda",0,48,0,20,0,1,0,0
"21/11/22","Kagadi",0,1,0,1,0,1,0,1
"21/11/22","Masaka",0,1,0,1,0,0,0,0
"21/11/22","Wakiso",0,3,0,0,0,0,0,0
"21/11/22","Jinja",0,1,0,1,0,0,0,0
"21/11/22","Kampala",0,18,0,2,0,2,0,0
"21/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"22/11/22","Mubende",0,64,0,29,0,14,0,6
"22/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"22/11/22","Kassanda",0,48,0,20,0,1,0,0
"22/11/22","Kagadi",0,1,0,1,0,1,0,1
"22/11/22","Masaka",0,1,0,1,0,0,0,0
"22/11/22","Wakiso",0,3,0,0,0,0,0,0
"22/11/22","Jinja",0,1,0,1,0,0,0,0
"22/11/22","Kampala",0,18,0,2,0,2,0,0
"22/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"23/11/22","Mubende",0,64,0,29,0,14,0,6
"23/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"23/11/22","Kassanda",0,48,0,20,0,1,0,0
"23/11/22","Kagadi",0,1,0,1,0,1,0,1
"23/11/22","Masaka",0,1,0,1,0,0,0,0
"23/11/22","Wakiso",0,3,0,0,0,0,0,0
"23/11/22","Jinja",0,1,0,1,0,0,0,0
"23/11/22","Kampala",0,18,0,2,0,2,0,0
"23/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"24/11/22","Mubende",0,64,0,29,0,14,0,6
"24/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"24/11/22","Kassanda",0,48,0,20,0,1,0,0
"24/11/22","Kagadi",0,1,0,1,0,1,0,1
"24/11/22","Masaka",0,1,0,1,0,0,0,0
"24/11/22","Wakiso",0,3,0,0,0,0,0,0
"24/11/22","Jinja",0,1,0,1,0,0,0,0
"24/11/22","Kampala",0,18,0,2,0,2,0,0
"24/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"25/11/22","Mubende",0,64,0,29,0,14,0,6
"25/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"25/11/22","Kassanda",0,48,0,20,0,1,0,0
"25/11/22","Kagadi",0,1,0,1,0,1,0,1
"25/11/22","Masaka",0,1,0,1,0,0,0,0
"25/11/22","Wakiso",0,3,0,0,0,0,0,0
"25/11/22","Jinja",0,1,0,1,0,0,0,0
"25/11/22","Kampala",0,18,0,2,0,2,0,0
"25/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"26/11/22","Mubende",0,64,0,29,0,14,0,6
"26/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"26/11/22","Kassanda",0,48,0,20,0,1,0,0
"26/11/22","Kagadi",0,1,0,1,0,1,0,1
"26/11/22","Masaka",0,1,0,1,0,0,0,0
"26/11/22","Wakiso",0,3,0,0,0,0,0,0
"26/11/22","Jinja",0,1,0,1,0,0,0,0
"26/11/22","Kampala",0,18,0,2,0,2,0,0
"26/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"27/11/22","Mubende",1,65,0,29,0,14,0,6
"27/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"27/11/22","Kassanda",0,48,0,20,0,1,0,0
"27/11/22","Kagadi",0,1,0,1,0,1,0,1
"27/11/22","Masaka",0,1,0,1,0,0,0,0
"27/11/22","Wakiso",0,3,0,0,0,0,0,0
"27/11/22","Jinja",0,1,0,1,0,0,0,0
"27/11/22","Kampala",0,18,0,2,0,2,0,0
"27/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"28/11/22","Mubende",0,65,0,29,0,14,0,6
"28/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"28/11/22","Kassanda",0,48,0,20,0,1,0,0
"28/11/22","Kagadi",0,1,0,1,0,1,0,1
"28/11/22","Masaka",0,1,0,1,0,0,0,0
"28/11/22","Wakiso",0,3,0,0,0,0,0,0
"28/11/22","Jinja",0,1,0,1,0,0,0,0
"28/11/22","Kampala",0,18,0,2,0,2,0,0
"28/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"29/11/22","Mubende",0,65,0,29,0,14,0,6
"29/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"29/11/22","Kassanda",0,48,0,20,0,1,0,0
"29/11/22","Kagadi",0,1,0,1,0,1,0,1
"29/11/22","Masaka",0,1,0,1,0,0,0,0
"29/11/22","Wakiso",0,3,0,0,0,0,0,0
"29/11/22","Jinja",0,1,0,1,0,0,0,0
"29/11/22","Kampala",0,18,0,2,0,2,0,0
"29/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"30/11/22","Mubende",0,65,0,29,0,14,0,6
"30/11/22","Kyegegwa",0,4,0,1,0,0,0,0
"30/11/22","Kassanda",0,48,0,20,0,1,0,0
"30/11/22","Kagadi",0,1,0,1,0,1,0,1
"30/11/22","Masaka",0,1,0,1,0,0,0,0
"30/11/22","Wakiso",0,3,0,0,0,0,0,0
"30/11/22","Jinja",0,1,0,1,0,0,0,0
"30/11/22","Kampala",0,18,0,2,0,2,0,0
"30/11/22","Bunyangabu",0,1,0,0,0,1,0,0
"01/12/22","Mubende",0,65,0,29,0,14,0,6
"01/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"01/12/22","Kassanda",0,48,0,20,0,1,0,0
"01/12/22","Kagadi",0,1,0,1,0,1,0,1
"01/12/22","Masaka",0,1,0,1,0,0,0,0
"01/12/22","Wakiso",0,3,0,0,0,0,0,0
"01/12/22","Jinja",0,1,0,1,0,0,0,0
"01/12/22","Kampala",0,18,0,2,0,2,0,0
"01/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"02/12/22","Mubende",0,65,0,29,0,14,0,6
"02/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"02/12/22","Kassanda",0,48,0,20,0,1,0,0
"02/12/22","Kagadi",0,1,0,1,0,1,0,1
"02/12/22","Masaka",0,1,0,1,0,0,0,0
"02/12/22","Wakiso",0,3,0,0,0,0,0,0
"02/12/22","Jinja",0,1,0,1,0,0,0,0
"02/12/22","Kampala",0,18,0,2,0,2,0,0
"02/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"03/12/22","Mubende",0,65,0,29,0,14,0,6
"03/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"03/12/22","Kassanda",0,48,0,20,0,1,0,0
"03/12/22","Kagadi",0,1,0,1,0,1,0,1
"03/12/22","Masaka",0,1,0,1,0,0,0,0
"03/12/22","Wakiso",0,3,0,0,0,0,0,0
"03/12/22","Jinja",0,1,0,1,0,0,0,0
"03/12/22","Kampala",0,18,0,2,0,2,0,0
"03/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"04/12/22","Mubende",0,65,0,29,0,14,0,6
"04/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"04/12/22","Kassanda",0,48,0,20,0,1,0,0
"04/12/22","Kagadi",0,1,0,1,0,1,0,1
"04/12/22","Masaka",0,1,0,1,0,0,0,0
"04/12/22","Wakiso",0,3,0,0,0,0,0,0
"04/12/22","Jinja",0,1,0,1,0,0,0,0
"04/12/22","Kampala",0,18,0,2,0,2,0,0
